title,price,category,url
Ноутбук Asus GL503VM (GL503VM-GZ040T) Black,172 680р.,Ноутбуки и аксессуары,https://nix.dn.ua/noutbuki-netbuki-i-aksessuari/noutbuk-asus-gl503vm-gl503vm-gz040t-black
Ноутбук Acer Extensa EX215-51G-59V0 (NX.EG1ER.00A),4 472 656р.,Ноутбуки и аксессуары,https://nix.dn.ua/noutbuki-netbuki-i-aksessuari/noutbuk-acer-extensa-ex215-51g-59v0-nxeg1er00a
Планшетный ПК Samsung Galaxy Tab S2 VE T813N 9.7 (SM-T813NZKE) 32Gb Black,34 497р.,Планшетные ПК,https://nix.dn.ua/planshetnie-pk/planshetnyj-pk-samsung-galaxy-tab-s2-ve-t813n-97-sm-t813nzke-32gb-black
Планшетный ПК Apple A1474 iPad Air (MD789TU/A),57 992р.,Планшетные ПК,https://nix.dn.ua/planshetnie-pk/planshetnyj-pk-apple-a1474-ipad-air-md789tua
Планшетный ПК Apple A1474 iPad Air (MD795TU/A),72 098р.,Планшетные ПК,https://nix.dn.ua/planshetnie-pk/planshetnyj-pk-apple-a1474-ipad-air-md795tua
Телевизор LCD 42'' LED LG 42LA691V; 3D; Black (42LA691V),663 605р.,Телевизоры и аксессуары,https://nix.dn.ua/televizori-i-aksessuari/televizor-lcd-42-led-lg-42la691v-3d-black-42la691v
"Телевизор LCD 42"" LED LG 42LA667V; White (42LA667V)",679 467р.,Телевизоры и аксессуары,https://nix.dn.ua/televizori-i-aksessuari/televizor-lcd-42-led-lg-42la667v-white-42la667v
"Кабель HDMI to HDMI 1.4; 20.0m; (с двумя фильтрами, в оплетке); Black&Red",1 300р.,Кабель ,https://nix.dn.ua/kabel1/kabel-hdmi-to-hdmi-14-200m-s-dvumya-filtrami-v-opletke-blackred
Кабель HDMI to HDMI ver.1.4; 15m; Black,1 200р.,Кабель ,https://nix.dn.ua/kabel1/kabel-hdmi-to-hdmi-ver14-15m-black
Кабель HDMI to DVI; 10.0m; Viewcon (VD066-10m); Black,900р.,Кабель ,https://nix.dn.ua/kabel1/kabel-hdmi-to-dvi-100m-viewcon-vd066-10m-black
Кабель VGA to VGA; 15m; DeTech,900р.,Кабель ,https://nix.dn.ua/kabel1/kabel-vga-to-vga-15m-detech
Игровая приставка Sony PlayStation 4 + Call of Duty: Black Ops III Limited Edition (CUH-1216B),39 227р.,Всё для игр,https://nix.dn.ua/igrovie-ustrojstva/igrovaya-pristavka-sony-playstation-4-call-of-duty-black-ops-iii-limited-edition-cuh-1216b
Принтер струйный Epson WorkForce WF7015; A3; Black,31 025р.,"Принтеры, МФУ, сканеры",https://nix.dn.ua/orgtehnika1/printer-strujnyj-epson-workforce-wf7015-a3-black
ИБП APC Smart-UPS 2000VA (SUA2200I),82 597р.,"ИБП, Стабилизаторы, Аккумуляторы",https://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-apc-smart-ups-2000va-sua2200i
ИБП LogicPower UPS K1200VA; USB; AVR,6 830р.,"ИБП, Стабилизаторы, Аккумуляторы",https://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-logicpower-ups-k1200va-usb-avr
Маршрутизатор TP-Link TL-WDR3600 (TL-WDR3600),5 485р.,Сетевое оборудование,https://nix.dn.ua/setevoe-oborudovanie1/marshrutizator-tp-link-tl-wdr3600-tl-wdr3600
Web-камера Logitech PTZ PRO 2 (960-001186),80 408р.,Аксессуары,https://nix.dn.ua/aksessuari/web-kamera-logitech-ptz-pro-2-960-001186
Web-камера Logitech C200 Black&Grey,9 375р.,Аксессуары,https://nix.dn.ua/aksessuari/web-kamera-logitech-c200-black-grey
Web-камера Logitech C920 (960-001055);,8 900р.,Аксессуары,https://nix.dn.ua/aksessuari/web-kamera-logitech-c920-960-001055
Web-камера Microsoft LifeCam Studio (Q2F-00018),7 790р.,Аксессуары,https://nix.dn.ua/aksessuari/web-kamera-microsoft-lifecam-studio-q2f-00018
Web-камера Logitech HD Pro Webcam C920-C (960-000945),6 749р.,Аксессуары,https://nix.dn.ua/aksessuari/web-kamera-logitech-hd-pro-webcam-c920-c-960-000945
Свитч TP-Link TL-SG5426 (TL-SG5426),26 218р.,Сетевое оборудование,https://nix.dn.ua/setevoe-oborudovanie1/svitch-tp-link-tl-sg5426-tl-sg5426
Свитч D-Link DGS-1210-28,14 331р.,Сетевое оборудование,https://nix.dn.ua/setevoe-oborudovanie1/svitch-d-link-dgs-1210-28
Свитч D-Link DES-1050G (DES-1050G),10 788р.,Сетевое оборудование,https://nix.dn.ua/setevoe-oborudovanie1/svitch-d-link-des-1050g-des-1050g
Маршрутизатор Asus RT-N65U (RT-N65U),8 536р.,Сетевое оборудование,https://nix.dn.ua/setevoe-oborudovanie1/marshrutizator-asus-rt-n65u-rt-n65u
Маршрутизатор TP-Link TL-WDR4300 (TL-WDR4300),7 911р.,Сетевое оборудование,https://nix.dn.ua/setevoe-oborudovanie1/marshrutizator-tp-link-tl-wdr4300-tl-wdr4300
Свитч D-Link DES-1100-26 (DES-1100-26),7 481р.,Сетевое оборудование,https://nix.dn.ua/setevoe-oborudovanie1/svitch-d-link-des-1100-26-des-1100-26
Свитч D-Link DGS-1024A (DGS-1024A),6 614р.,Сетевое оборудование,https://nix.dn.ua/setevoe-oborudovanie1/svitch-d-link-dgs-1024a-dgs-1024a
Свитч D-Link DES-1026G (DES-1026G),6 024р.,Сетевое оборудование,https://nix.dn.ua/setevoe-oborudovanie1/svitch-d-link-des-1026g-des-1026g
Свитч D-Link DGS-1024D (DGS-1024D),7 953р.,Сетевое оборудование,https://nix.dn.ua/setevoe-oborudovanie1/svitch-d-link-dgs-1024d-dgs-1024d
Маршрутизатор Keenetic Extra (KN-1711-01RU),5 900р.,Сетевое оборудование,https://nix.dn.ua/setevoe-oborudovanie1/marshrutizator-keenetic-extra-kn-1711
Свитч D-Link DGS-1016D (DGS-1016D),5 795р.,Сетевое оборудование,https://nix.dn.ua/setevoe-oborudovanie1/svitch-d-link-dgs-1016d-dgs-1016d
ИБП PrologiX Standart 1200 (Standart 1200),6 804р.,"ИБП, Стабилизаторы, Аккумуляторы",https://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-prologix-standart-1200-standart-1200
ИБП Must PowerAgent 1060,6 662р.,"ИБП, Стабилизаторы, Аккумуляторы",https://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-must-poweragent-1060
